Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
20,CA-2020-143336,27/08/2020,1/9/2020,Second Class,ZD-21925,Consumer,94109,TEC-PH-10001949,213,3,,48
21,CA-2020-143336,27/08/2020,1/9/2020,Second Class,ZD-21925,Consumer,94109,OFF-BI-10002215,22,4,,72
22,CA-2022-137330,9/12/2022,13/12/2022,Standard Class,KB-16585,Corporate,68025,OFF-AR-10000246,19,7,5,46
23,CA-2022-137330,9/12/2022,13/12/2022,Standard Class,KB-16585,Corporate,68025,OFF-AP-10001492,60,7,15,34
24,US-2023-156909,16/07/2023,18/07/2023,Second Class,SF-20065,Consumer,19140,FUR-CH-10002774,71,2,,372
25,CA-2021-106320,25/09/2021,30/09/2021,Standard Class,EB-13870,Consumer,84057,FUR-TA-10000577,1044,3,240,63
26,CA-2022-121755,16/01/2022,20/01/2022,Second Class,EH-13945,Consumer,90049,OFF-BI-10001634,11,2,,648
27,CA-2022-121755,16/01/2022,20/01/2022,Second Class,EH-13945,Consumer,90049,TEC-AC-10003027,90,3,11,57
28,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,FUR-BO-10004834,3083,7,,43
29,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-BI-10000474,9,2,,618
30,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,FUR-FU-10004848,124,3,,2
31,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-EN-10001509,3,2,,264
32,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-AR-10004042,86,6,,304
33,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-BI-10001525,6,6,,858
34,US-2021-150630,17/09/2021,21/09/2021,Standard Class,TB-21520,Consumer,19140,OFF-AR-10001683,15,2,,76
35,CA-2023-107727,19/10/2023,23/10/2023,Second Class,MA-17560,Home Office,77095,OFF-PA-10000249,29,3,,472
36,CA-2022-117590,8/12/2022,10/12/2022,First Class,GH-14485,Corporate,75080,TEC-PH-10004977,1097,7,,544
37,CA-2022-117590,8/12/2022,10/12/2022,First Class,GH-14485,Corporate,75080,FUR-FU-10003664,190,5,,92
38,CA-2021-117415,27/12/2021,31/12/2021,Standard Class,SN-20710,Home Office,77041,OFF-EN-10002986,113,9,,328
39,CA-2021-117415,27/12/2021,31/12/2021,Standard Class,SN-20710,Home Office,77041,FUR-BO-10002545,532,3,,3992
40,CA-2021-117415,27/12/2021,31/12/2021,Standard Class,SN-20710,Home Office,77041,FUR-CH-10004218,212,3,,58
41,CA-2021-117415,27/12/2021,31/12/2021,Standard Class,SN-20710,Home Office,77041,TEC-PH-10000486,371,4,,168
42,CA-2023-120999,10/9/2023,15/09/2023,Standard Class,LC-16930,Corporate,60540,TEC-PH-10004093,147,4,,168
43,CA-2022-101343,17/07/2022,22/07/2022,Standard Class,RA-19885,Corporate,90049,OFF-ST-10003479,77,2,3,88
44,CA-2023-139619,19/09/2023,23/09/2023,Standard Class,ES-14080,Corporate,32935,OFF-ST-10003282,95,2,,616
45,CA-2022-118255,11/3/2022,13/03/2022,First Class,ON-18715,Corporate,55122,TEC-AC-10000171,45,2,19,98
46,CA-2022-118255,11/3/2022,13/03/2022,First Class,ON-18715,Corporate,55122,OFF-BI-10003291,17,2,8,46
47,CA-2020-146703,20/10/2020,25/10/2020,Second Class,PO-18865,Consumer,48185,OFF-ST-10001713,211,4,8,96
48,CA-2022-169194,20/06/2022,25/06/2022,Standard Class,LH-16900,Consumer,19901,TEC-AC-10002167,45,,,95
49,CA-2022-169194,20/06/2022,25/06/2022,Standard Class,LH-16900,Consumer,19901,TEC-PH-10003988,21,2,6,8
50,CA-2021-115742,18/04/2021,22/04/2021,Standard Class,DP-13000,Consumer,47150,OFF-BI-10004410,38,6,17,22
51,CA-2021-115742,18/04/2021,22/04/2021,Standard Class,DP-13000,Consumer,47150,OFF-LA-10002762,75,6,35,18
52,CA-2021-115742,18/04/2021,22/04/2021,Standard Class,DP-13000,Consumer,47150,FUR-FU-10001706,6,2,2,16
53,CA-2021-115742,18/04/2021,22/04/2021,Standard Class,DP-13000,Consumer,47150,FUR-CH-10003061,89,1,17,99
54,CA-2022-105816,11/12/2022,17/12/2022,Standard Class,JM-15265,Corporate,10024,OFF-FA-10000304,15,7,6,26
55,CA-2022-105816,11/12/2022,17/12/2022,Standard Class,JM-15265,Corporate,10024,TEC-PH-10002447,1029,5,298,95
56,CA-2022-111682,17/06/2022,18/06/2022,First Class,TB-21055,Consumer,12180,OFF-ST-10000604,208,6,52,56
57,CA-2022-111682,17/06/2022,18/06/2022,First Class,TB-21055,Consumer,12180,OFF-PA-10001569,32,5,15,4
58,CA-2022-111682,17/06/2022,18/06/2022,First Class,TB-21055,Consumer,12180,FUR-CH-10003968,319,5,,41
59,CA-2022-111682,17/06/2022,18/06/2022,First Class,TB-21055,Consumer,12180,OFF-PA-10000587,14,2,6,56
60,CA-2022-111682,17/06/2022,18/06/2022,First Class,TB-21055,Consumer,12180,TEC-AC-10002167,30,,,3
61,CA-2022-111682,17/06/2022,18/06/2022,First Class,TB-21055,Consumer,12180,OFF-BI-10001460,48,4,,48
62,CA-2022-111682,17/06/2022,18/06/2022,First Class,TB-21055,Consumer,12180,OFF-AR-10001868,1,1,0,68
63,CA-2021-135545,24/11/2021,30/11/2021,Standard Class,KM-16720,Consumer,90004,TEC-AC-10004633,13,2,6,98
64,CA-2021-135545,24/11/2021,30/11/2021,Standard Class,KM-16720,Consumer,90004,OFF-BI-10001078,25,6,,824
65,CA-2021-135545,24/11/2021,30/11/2021,Standard Class,KM-16720,Consumer,90004,OFF-PA-10003892,146,3,68,73
66,CA-2021-135545,24/11/2021,30/11/2021,Standard Class,KM-16720,Consumer,90004,FUR-FU-10000397,79,4,22,76
67,US-2021-164175,30/04/2021,5/5/2021,Standard Class,PS-18970,Home Office,60610,FUR-CH-10001146,213,5,,115
68,CA-2020-106376,5/12/2020,10/12/2020,Standard Class,BS-11590,Corporate,85234,OFF-AR-10002671,1113,8,,24
69,CA-2020-106376,5/12/2020,10/12/2020,Standard Class,BS-11590,Corporate,85234,TEC-PH-10002726,167,4,,968
70,CA-2022-119823,4/6/2022,6/6/2022,First Class,KD-16270,Consumer,22153,OFF-PA-10000482,75,2,35,88
71,CA-2022-106075,18/09/2022,23/09/2022,Standard Class,HM-14980,Consumer,10009,OFF-BI-10004654,4,1,,616
72,CA-2023-114440,14/09/2023,17/09/2023,Second Class,TB-21520,Consumer,49201,OFF-PA-10004675,19,3,8,5
73,US-2021-134026,26/04/2021,2/5/2021,Standard Class,JE-15745,Consumer,38109,FUR-CH-10000513,831,8,,936
74,US-2021-134026,26/04/2021,2/5/2021,Standard Class,JE-15745,Consumer,38109,FUR-FU-10003708,97,2,,4
75,US-2021-134026,26/04/2021,2/5/2021,Standard Class,JE-15745,Consumer,38109,OFF-ST-10004123,72,1,,784
76,US-2023-118038,9/12/2023,11/12/2023,First Class,KB-16600,Corporate,77041,OFF-BI-10004182,1,3,,248
77,US-2023-118038,9/12/2023,11/12/2023,First Class,KB-16600,Corporate,77041,FUR-FU-10000260,9,3,,708
78,US-2023-118038,9/12/2023,11/12/2023,First Class,KB-16600,Corporate,77041,OFF-ST-10000615,27,3,,24
79,US-2020-147606,26/11/2020,1/12/2020,Second Class,JE-15745,Consumer,77070,FUR-FU-10003194,19,5,,3
80,CA-2022-127208,12/6/2022,15/06/2022,First Class,SC-20770,Corporate,35601,OFF-AP-10002118,208,1,56,16
81,CA-2022-127208,12/6/2022,15/06/2022,First Class,SC-20770,Corporate,35601,OFF-BI-10002309,16,3,8,74
82,CA-2020-139451,12/10/2020,16/10/2020,Standard Class,DN-13690,Consumer,94122,OFF-AR-10002053,14,5,4,9
83,CA-2020-139451,12/10/2020,16/10/2020,Standard Class,DN-13690,Consumer,94122,OFF-ST-10002370,21,1,6,39
84,CA-2021-149734,3/9/2021,8/9/2021,Standard Class,JC-16105,Corporate,27707,OFF-EN-10000927,200,7,,984
85,US-2023-119662,13/11/2023,16/11/2023,First Class,CS-12400,Home Office,60623,OFF-ST-10003656,230,3,,376
86,CA-2023-140088,28/05/2023,30/05/2023,Second Class,PO-18865,Consumer,29203,FUR-CH-10000863,301,2,33,96
87,CA-2023-155558,26/10/2023,2/11/2023,Standard Class,PG-18895,Consumer,55901,TEC-AC-10001998,19,1,6,99
88,CA-2023-155558,26/10/2023,2/11/2023,Standard Class,PG-18895,Consumer,55901,OFF-LA-10000134,6,2,2,16
89,CA-2022-159695,5/4/2022,10/4/2022,Second Class,GM-14455,Home Office,77095,OFF-ST-10003442,158,7,,368
90,CA-2022-109806,17/09/2022,22/09/2022,Standard Class,JS-15685,Corporate,90036,OFF-AR-10004930,20,3,6,1
91,CA-2022-109806,17/09/2022,22/09/2022,Standard Class,JS-15685,Corporate,90036,TEC-PH-10004093,73,2,,584
92,CA-2022-109806,17/09/2022,22/09/2022,Standard Class,JS-15685,Corporate,90036,OFF-PA-10000304,6,1,3,48
93,CA-2021-149587,31/01/2021,5/2/2021,Second Class,KB-16315,Consumer,55407,OFF-PA-10003177,12,2,6,96
94,CA-2021-149587,31/01/2021,5/2/2021,Second Class,KB-16315,Consumer,55407,FUR-FU-10003799,53,3,16,34
95,CA-2021-149587,31/01/2021,5/2/2021,Second Class,KB-16315,Consumer,55407,OFF-BI-10002852,32,2,16,96
96,US-2023-109484,6/11/2023,12/11/2023,Standard Class,RB-19705,Home Office,97206,OFF-BI-10004738,5,1,,682
97,CA-2023-161018,9/11/2023,11/11/2023,Second Class,PN-18775,Home Office,10009,FUR-FU-10000629,96,7,40,53
98,CA-2023-157833,17/06/2023,20/06/2023,First Class,KD-16345,Consumer,94122,OFF-BI-10001721,51,3,,312
99,CA-2022-149223,6/9/2022,11/9/2022,Standard Class,ER-13855,Corporate,55106,OFF-AP-10000358,77,6,22,88
100,CA-2022-158568,29/08/2022,2/9/2022,Standard Class,RB-19465,Home Office,60610,OFF-PA-10003256,64,7,,624
101,CA-2022-158568,29/08/2022,2/9/2022,Standard Class,RB-19465,Home Office,60610,TEC-AC-10001767,95,3,,976
102,CA-2022-158568,29/08/2022,2/9/2022,Standard Class,RB-19465,Home Office,60610,OFF-BI-10002609,1,3,,788
103,CA-2022-129903,1/12/2022,4/12/2022,Second Class,GZ-14470,Consumer,55901,OFF-PA-10004040,23,4,11,92
104,US-2021-156867,13/11/2021,17/11/2021,Standard Class,LC-16870,Consumer,80013,TEC-AC-10001552,238,6,,896
105,US-2021-156867,13/11/2021,17/11/2021,Standard Class,LC-16870,Consumer,80013,FUR-FU-10004006,102,3,,36
106,US-2021-156867,13/11/2021,17/11/2021,Standard Class,LC-16870,Consumer,80013,OFF-BI-10002794,36,3,,882
107,CA-2023-119004,23/11/2023,28/11/2023,Standard Class,JM-15250,Consumer,28205,TEC-AC-10003499,74,8,,112
108,CA-2023-119004,23/11/2023,28/11/2023,Standard Class,JM-15250,Consumer,28205,TEC-PH-10002844,27,1,,992
109,CA-2023-119004,23/11/2023,28/11/2023,Standard Class,JM-15250,Consumer,28205,OFF-AR-10000390,3,1,,304
110,CA-2021-129476,15/10/2021,20/10/2021,Standard Class,PA-19060,Home Office,60462,TEC-AC-10000844,339,5,,96
111,CA-2023-146780,25/12/2023,30/12/2023,Standard Class,CV-12805,Corporate,10035,FUR-FU-10001934,41,2,10,96
112,CA-2022-128867,3/11/2022,10/11/2022,Standard Class,CL-12565,Consumer,50322,OFF-AR-10000380,75,2,22,96
113,CA-2022-128867,3/11/2022,10/11/2022,Standard Class,CL-12565,Consumer,50322,OFF-BI-10003981,27,6,13,24
114,CA-2020-115259,25/08/2020,27/08/2020,Second Class,RC-19960,Consumer,43229,OFF-FA-10000621,40,14,,96
115,CA-2020-115259,25/08/2020,27/08/2020,Second Class,RC-19960,Consumer,43229,OFF-EN-10002600,4,2,,72
116,CA-2020-115259,25/08/2020,27/08/2020,Second Class,RC-19960,Consumer,43229,OFF-PA-10004965,23,3,,976
117,CA-2020-115259,25/08/2020,27/08/2020,Second Class,RC-19960,Consumer,43229,OFF-EN-10002504,130,6,,464
118,CA-2021-110457,2/3/2021,6/3/2021,Standard Class,DK-13090,Consumer,98103,FUR-TA-10001768,787,3,165,53
119,US-2021-136476,5/4/2021,10/4/2021,Standard Class,GG-14650,Corporate,37620,OFF-BI-10003650,157,1,,794
120,CA-2022-103730,12/6/2022,15/06/2022,First Class,SC-20725,Consumer,19805,FUR-FU-10002157,47,3,18,4
121,CA-2022-103730,12/6/2022,15/06/2022,First Class,SC-20725,Consumer,19805,OFF-BI-10003910,30,4,13,84
122,CA-2022-103730,12/6/2022,15/06/2022,First Class,SC-20725,Consumer,19805,OFF-ST-10000777,226,6,63,56
123,CA-2022-103730,12/6/2022,15/06/2022,First Class,SC-20725,Consumer,19805,OFF-EN-10002500,115,9,51,2
124,CA-2022-103730,12/6/2022,15/06/2022,First Class,SC-20725,Consumer,19805,TEC-PH-10003875,68,7,19,4
125,US-2020-152030,26/12/2020,28/12/2020,Second Class,AD-10180,Home Office,77041,FUR-CH-10004063,600,3,,558
126,US-2020-134614,20/09/2020,25/09/2020,Standard Class,PF-19165,Consumer,61701,FUR-TA-10004534,617,6,,7
127,US-2023-107272,5/11/2023,12/11/2023,Standard Class,TS-21610,Consumer,85023,OFF-BI-10003274,2,2,,388
128,US-2023-107272,5/11/2023,12/11/2023,Standard Class,TS-21610,Consumer,85023,OFF-ST-10002974,243,7,,992
129,US-2022-125969,6/11/2022,10/11/2022,Second Class,LS-16975,Home Office,90004,FUR-CH-10001146,81,2,,424
130,US-2022-125969,6/11/2022,10/11/2022,Second Class,LS-16975,Home Office,90004,FUR-FU-10003773,238,3,26,56
131,US-2023-164147,2/2/2023,5/2/2023,First Class,DW-13585,Corporate,43229,TEC-PH-10002293,59,5,,97
132,US-2023-164147,2/2/2023,5/2/2023,First Class,DW-13585,Corporate,43229,OFF-PA-10002377,78,2,,304
133,US-2023-164147,2/2/2023,5/2/2023,First Class,DW-13585,Corporate,43229,OFF-FA-10002780,21,9,,456
134,CA-2022-145583,13/10/2022,19/10/2022,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001804,20,3,9,4
135,CA-2022-145583,13/10/2022,19/10/2022,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001736,35,1,16,44
136,CA-2022-145583,13/10/2022,19/10/2022,Standard Class,LC-16885,Consumer,95661,OFF-AR-10001149,11,4,3,52
137,CA-2022-145583,13/10/2022,19/10/2022,Standard Class,LC-16885,Consumer,95661,OFF-FA-10002988,4,2,1,2
138,CA-2022-145583,13/10/2022,19/10/2022,Standard Class,LC-16885,Consumer,95661,OFF-BI-10004781,76,3,,176
139,CA-2022-145583,13/10/2022,19/10/2022,Standard Class,LC-16885,Consumer,95661,OFF-SU-10001218,65,6,18,88
140,CA-2022-145583,13/10/2022,19/10/2022,Standard Class,LC-16885,Consumer,95661,FUR-FU-10001706,43,14,20,12
141,CA-2022-110366,5/9/2022,7/9/2022,Second Class,JD-15895,Corporate,19140,FUR-FU-10004848,82,2,,8
142,CA-2023-106180,18/09/2023,23/09/2023,Standard Class,SH-19975,Corporate,94122,OFF-AR-10000940,8,3,2,82
143,CA-2023-106180,18/09/2023,23/09/2023,Standard Class,SH-19975,Corporate,94122,OFF-EN-10004030,10,3,5,86
144,CA-2023-106180,18/09/2023,23/09/2023,Standard Class,SH-19975,Corporate,94122,OFF-PA-10004327,143,3,68,7
145,CA-2023-155376,22/12/2023,27/12/2023,Standard Class,SG-20080,Consumer,64055,OFF-AP-10001058,839,3,218,43
146,CA-2021-110744,7/9/2021,12/9/2021,Standard Class,HA-14920,Consumer,91104,OFF-ST-10003656,671,7,20,93
147,CA-2020-110072,22/10/2020,28/10/2020,Standard Class,MG-17680,Home Office,43055,FUR-FU-10000521,93,4,,888
148,CA-2022-114489,5/12/2022,9/12/2022,Standard Class,JE-16165,Corporate,53132,TEC-PH-10000215,384,11,103,45
149,CA-2022-114489,5/12/2022,9/12/2022,Standard Class,JE-16165,Corporate,53132,TEC-PH-10001448,149,3,5,97
150,CA-2022-114489,5/12/2022,9/12/2022,Standard Class,JE-16165,Corporate,53132,FUR-CH-10000454,1951,8,585,84
151,CA-2022-114489,5/12/2022,9/12/2022,Standard Class,JE-16165,Corporate,53132,OFF-BI-10002735,171,5,80,55
152,CA-2022-158834,13/03/2022,16/03/2022,First Class,TW-21025,Home Office,85254,OFF-AP-10000326,157,5,,92
153,CA-2022-158834,13/03/2022,16/03/2022,First Class,TW-21025,Home Office,85254,TEC-PH-10001254,203,2,,184
154,CA-2021-124919,31/05/2021,2/6/2021,First Class,SP-20650,Corporate,95123,OFF-PA-10001950,58,7,26,38
155,CA-2021-124919,31/05/2021,2/6/2021,First Class,SP-20650,Corporate,95123,OFF-PA-10002254,105,4,48,52
156,CA-2021-124919,31/05/2021,2/6/2021,First Class,SP-20650,Corporate,95123,OFF-ST-10001590,80,6,21,88
157,CA-2021-118948,28/05/2021,3/6/2021,Standard Class,NK-18490,Home Office,98105,OFF-AR-10001547,6,3,1,63
158,CA-2020-104269,1/3/2020,6/3/2020,Second Class,DB-13060,Consumer,98115,FUR-CH-10004063,457,2,,568
159,CA-2022-114104,20/11/2022,24/11/2022,Standard Class,NP-18670,Consumer,73034,OFF-LA-10002475,14,2,6,62
160,CA-2022-114104,20/11/2022,24/11/2022,Standard Class,NP-18670,Consumer,73034,TEC-PH-10004536,944,7,236,93
161,CA-2022-162733,11/5/2022,12/5/2022,First Class,TT-21070,Consumer,90045,OFF-PA-10002751,5,1,2,98
162,CA-2021-119697,28/12/2021,31/12/2021,Second Class,EM-13960,Consumer,19134,TEC-AC-10003657,54,2,,384
163,CA-2022-154508,16/11/2022,20/11/2022,Standard Class,RD-19900,Consumer,88220,OFF-EN-10001990,28,5,13,4
164,CA-2022-113817,7/11/2022,11/11/2022,Standard Class,MJ-17740,Consumer,98115,OFF-BI-10004002,27,2,,68
165,CA-2020-139892,8/9/2020,12/9/2020,Standard Class,BM-11140,Consumer,78207,OFF-AR-10004441,9,3,,936
166,CA-2020-139892,8/9/2020,12/9/2020,Standard Class,BM-11140,Consumer,78207,TEC-MA-10000822,8159,8,,952
167,CA-2020-139892,8/9/2020,12/9/2020,Standard Class,BM-11140,Consumer,78207,OFF-ST-10000991,275,3,,928
168,CA-2020-139892,8/9/2020,12/9/2020,Standard Class,BM-11140,Consumer,78207,FUR-CH-10004287,1740,9,,6
169,CA-2020-139892,8/9/2020,12/9/2020,Standard Class,BM-11140,Consumer,78207,OFF-AR-10002656,32,6,,64
170,CA-2020-139892,8/9/2020,12/9/2020,Standard Class,BM-11140,Consumer,78207,OFF-AP-10002518,177,5,,98
171,CA-2020-139892,8/9/2020,12/9/2020,Standard Class,BM-11140,Consumer,78207,TEC-PH-10003931,143,3,,976
172,CA-2020-118962,5/8/2020,9/8/2020,Standard Class,CS-12130,Consumer,90004,OFF-PA-10000659,20,3,9,94
173,CA-2020-118962,5/8/2020,9/8/2020,Standard Class,CS-12130,Consumer,90004,OFF-PA-10001144,110,2,53,96
174,CA-2020-118962,5/8/2020,9/8/2020,Standard Class,CS-12130,Consumer,90004,FUR-CH-10003817,340,7,,144
175,US-2020-100853,14/09/2020,19/09/2020,Standard Class,JB-15400,Corporate,60623,OFF-AP-10000891,52,2,,448
176,US-2020-100853,14/09/2020,19/09/2020,Standard Class,JB-15400,Corporate,60623,OFF-LA-10003148,20,4,,16
177,US-2023-152366,21/04/2023,25/04/2023,Second Class,SJ-20500,Consumer,77036,OFF-AP-10002684,97,4,,264
178,US-2021-101511,21/11/2021,23/11/2021,Second Class,JE-15745,Consumer,43055,FUR-CH-10004698,396,7,,802
179,US-2021-101511,21/11/2021,23/11/2021,Second Class,JE-15745,Consumer,43055,OFF-SU-10002189,15,5,,88
180,CA-2021-137225,15/12/2021,19/12/2021,Standard Class,JK-15640,Home Office,10009,OFF-AR-10001940,3,1,1,28
181,CA-2020-166191,5/12/2020,9/12/2020,Second Class,DK-13150,Corporate,62521,OFF-ST-10003455,24,2,,816
182,CA-2020-166191,5/12/2020,9/12/2020,Second Class,DK-13150,Corporate,62521,TEC-AC-10004659,408,7,,744
183,CA-2020-158274,19/11/2020,24/11/2020,Second Class,RM-19675,Home Office,71203,TEC-PH-10003273,503,4,131,96
184,CA-2020-158274,19/11/2020,24/11/2020,Second Class,RM-19675,Home Office,71203,TEC-PH-10004896,149,5,41,95
185,CA-2020-158274,19/11/2020,24/11/2020,Second Class,RM-19675,Home Office,71203,TEC-AC-10002345,29,,,25
186,CA-2022-105018,28/11/2022,2/12/2022,Standard Class,SK-19990,Consumer,6824,OFF-BI-10001890,7,2,3,16
187,CA-2020-123260,26/08/2020,30/08/2020,Standard Class,FM-14290,Home Office,90032,TEC-AC-10002323,176,8,22,8
188,CA-2022-157000,16/07/2022,22/07/2022,Standard Class,AM-10360,Corporate,75051,OFF-ST-10001328,37,3,,224
189,CA-2022-157000,16/07/2022,22/07/2022,Standard Class,AM-10360,Corporate,75051,OFF-PA-10001950,20,3,,16
190,CA-2021-102281,12/10/2021,14/10/2021,First Class,MP-17470,Home Office,10035,FUR-BO-10002613,899,4,,136
191,CA-2021-102281,12/10/2021,14/10/2021,First Class,MP-17470,Home Office,10035,TEC-PH-10001552,71,6,20,76
192,CA-2021-102281,12/10/2021,14/10/2021,First Class,MP-17470,Home Office,10035,OFF-PA-10000061,51,8,24,84
193,CA-2021-102281,12/10/2021,14/10/2021,First Class,MP-17470,Home Office,10035,FUR-BO-10002545,626,3,,352
194,CA-2021-102281,12/10/2021,14/10/2021,First Class,MP-17470,Home Office,10035,OFF-AR-10003514,19,5,6,9
195,CA-2021-131457,31/10/2021,6/11/2021,Standard Class,MZ-17515,Corporate,92374,OFF-EN-10001509,14,7,6,28
196,CA-2020-140004,21/03/2020,25/03/2020,Standard Class,CB-12025,Consumer,45011,OFF-AR-10004685,7,2,,408
197,CA-2020-140004,21/03/2020,25/03/2020,Standard Class,CB-12025,Consumer,45011,OFF-AR-10004027,6,3,,48
198,CA-2023-107720,6/11/2023,13/11/2023,Standard Class,VM-21685,Home Office,7090,OFF-ST-10001414,46,3,12,26
199,US-2023-124303,6/7/2023,13/07/2023,Standard Class,FH-14365,Corporate,19120,OFF-BI-10000343,2,2,,946
200,US-2023-124303,6/7/2023,13/07/2023,Standard Class,FH-14365,Corporate,19120,OFF-PA-10002749,16,3,,56
201,CA-2023-105074,24/06/2023,29/06/2023,Standard Class,MB-17305,Consumer,44312,OFF-PA-10002666,21,3,,744
202,CA-2020-133690,3/8/2020,5/8/2020,First Class,BS-11755,Consumer,80219,FUR-TA-10004289,218,2,,75
203,CA-2020-133690,3/8/2020,5/8/2020,First Class,BS-11755,Consumer,80219,OFF-AP-10003622,2,1,,6
204,US-2023-116701,17/12/2023,21/12/2023,Second Class,LC-17140,Consumer,75220,OFF-AP-10003217,66,2,,284
205,CA-2023-126382,3/6/2023,7/6/2023,Standard Class,HK-14890,Corporate,37064,FUR-FU-10002960,35,7,,168
206,CA-2023-108329,9/12/2023,14/12/2023,Standard Class,LE-16810,Consumer,90604,TEC-PH-10001918,444,4,,768
207,CA-2023-135860,1/12/2023,7/12/2023,Standard Class,JH-15985,Consumer,48601,OFF-ST-10000642,83,4,5,92
208,CA-2023-135860,1/12/2023,7/12/2023,Standard Class,JH-15985,Consumer,48601,TEC-PH-10001700,131,2,35,98
209,CA-2023-135860,1/12/2023,7/12/2023,Standard Class,JH-15985,Consumer,48601,OFF-BI-10003274,15,4,7,92
210,CA-2023-135860,1/12/2023,7/12/2023,Standard Class,JH-15985,Consumer,48601,OFF-FA-10000134,52,9,16,29
211,CA-2023-135860,1/12/2023,7/12/2023,Standard Class,JH-15985,Consumer,48601,OFF-ST-10001522,91,1,3,99
212,CA-2021-101007,9/2/2021,13/02/2021,Second Class,MS-17980,Corporate,75220,TEC-AC-10001266,20,2,,8
213,CA-2021-146262,2/1/2021,9/1/2021,Standard Class,VW-21775,Corporate,44256,OFF-LA-10004544,23,2,,68
214,CA-2021-146262,2/1/2021,9/1/2021,Standard Class,VW-21775,Corporate,44256,FUR-BO-10004695,452,5,,45
215,CA-2021-146262,2/1/2021,9/1/2021,Standard Class,VW-21775,Corporate,44256,TEC-PH-10002844,62,3,,982
216,CA-2021-146262,2/1/2021,9/1/2021,Standard Class,VW-21775,Corporate,44256,TEC-MA-10000864,1188,-950,,7
217,CA-2021-146262,2/1/2021,9/1/2021,Standard Class,VW-21775,Corporate,44256,TEC-AC-10000109,89,2,,584
218,CA-2022-130162,28/10/2022,1/11/2022,Standard Class,JH-15910,Consumer,90032,OFF-ST-10001328,93,6,26,6
219,CA-2022-130162,28/10/2022,1/11/2022,Standard Class,JH-15910,Consumer,90032,TEC-PH-10002563,302,3,,376
220,CA-2021-169397,24/12/2021,27/12/2021,First Class,JB-15925,Consumer,43017,OFF-FA-10000585,5,2,,584
